Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C6, C7",0603,3,100 nF,
C10,0603,1,0.1uF,
C2,Cap_680,1,680 uF,
"C3, C4",0603,2,"4,7 uF",
C5,Cap_220,1,220 uF,
C8,0603,1,0.33 uF,
C9,CAP_EKYC500_NIP,1,680 uF,
"D1, D6",DIO_PMEG4050EP_115,2,PMEG4050EP,
"D2, D3, D4",0603,3,LED,
"J1, J4",PinHeader_1x16_P2.54mm_Vertical,2,Conn_01x16,
"J10, J3",CONN10_1935242_PXC,2,EndStop,
"J11, J12, J14, J15, J16, J17, J19, J21, J23",CONN_PPTC081LFBN-RC_SUL,9,Conn_01x08,
J13,61200621621,1,Tool Change,
J2,GCT_MEM2061-01-188-00-A_REVA,1,Micro_SD_Card,
J24,SULLINS_PPTC041LFBN-RC,1,Moteur_X_OUT,
J25,SULLINS_PPTC041LFBN-RC,1,Moteur_Y_OUT,
J26,SULLINS_PPTC041LFBN-RC,1,Moteur_Z_OUT,
J27,691137710004,1,Moteur_x,
J28,691137710004,1,Moteur_Y,
J29,691137710004,1,Moteur_Z,
J5,CONN_1935174_PXC,1,CON,
J6,CONN_1935161_PXC,1,Input,
J7,CONN_1935174_PXC,1,PWM_OUT,
J8,CONN_1935161_PXC,1,Spindle Power,
J9,HARWIN_M20-9980346,1,Jumper,
L1,DR73,1,33 uH,
L2,IND_BOURNS_SRR1260,1,"680 uH, Low DCR, Isat : 750 mA",
"R1, R10, R13, R18, R22, R25, R28, R33, R4, R7",0603,10,200,
"R11, R14, R19, R2, R23, R26, R30, R35, R37, R5, R8",0603,11,4k7,
"R12, R15, R16, R17, R20, R21, R24, R27, R3, R31, R36, R6, R9",0603,13,1k,
R29,0805,1,1k,
"R32, R34",0603,2,330,
R38,0603,1,2k2,
R39,0603,1,"20k, 1%",
R40,0603,1,"1k07, 1%",
"TP1, TP2, TP3, TP4",TP420X150,4,~,
"U1, U2, U3, U6, U7",LVT-827S_LTO,5,LTV-827,
U10,TS5B_TEX-M,1,LM2577S-ADJ/NOPB,
U4,TO-263-5_TabPin3,1,LM2596S-5,
U5,SOT-223_3MC_MCH-M,1,MCP1825S,
"U8, U9",SOP65P640X120-16N,2,74AHCT595,
